asin,title,price_value,rating,helpfulVoteCount,sentiment_score,liked
B00021NY28,Gloria Vanderbilt Women's Amanda Classic High Rise Tapered Jean,16.7665,4.4,67,0.2690618914815343,1
B0006U6C0Q,Wrangler Men's Cowboy Cut Slim Fit Jeans,29.9843,4.5,294,0.30623278358546213,1
B0007CKJSY,Wrangler Men's 13MWZ Cowboy Cut Original Fit Jeans,18.9464,4.9,128,0.16982853765488934,1
B0008EOG9E,Lee Men's Regular Fit Straight Leg Jean,34.905,4.8,2,0.2705108710733711,1
B0008EOGAS,Lee Men's Regular Fit Straight Leg Jean,31.98,4.6,5,0.26461978765312094,1
B000J9YQOS,"Champion Men's Shorts, Men's Mesh Gym Shorts, Lightweight Athletic Shorts (Reg. Or Big & Tall)",14.2952,4.6,19,0.3725770741604075,1
B000SKI752,Hanes Men's 6-12 6-Pack Cushion Crew Socks,12.0,5.0,0,0.468452380952381,1
B000U62IYK,"Russell Athletic Men's Dri Power Fleece Open Bottom Sweatpants with Pockets, Relaxed Fit, Moisture Wicking",20.99,4.1,134,0.24879493432078328,1
B000W93PX8,Rockport Men's Eureka Walking Shoe,69.953,4.5,538,0.1511576970022867,1
B0018OMIOI,Levi's Men's 550 Relaxed Fit Jeans (Also Available in Big & Tall),43.7937,4.5,23,0.24688667534219483,1
B0018ON68A,Levi's Men's 501 Original Fit Jeans (Also Available in Big & Tall),55.653,4.6,329,0.2734498658530763,1
B001NSEC9I,Haggar Men’s Hidden Expandable Waistband Classic Fit Pleated Front Gabardine Dress Pant,65.0,4.5,5,0.3132169312502645,1
B001NZCXNI,Merrell Men's Jungle Leather Slip-On Shoe,62.07379999999999,4.9,19,0.3058443855787606,1
B002GHC19I,Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt,19.99,4.909090909090909,30,0.33976799000479124,1
B005LCMU00,"U.S. Polo Assn. Men's Classic Polo Shirt, Two-Button Closure Pique Polo Shirt, Summer Fashion Golf Shirt",19.989,4.5,2,0.3084325798470535,1
B005OLALQI,PUMA Men's Roma Sneaker,46.9933,4.4,22,0.20843256362374007,1
B0076R6L58,Columbia Steens Mountain™ Full Zip 2.0,45.95,4.9,6,0.5387830687830688,1
B008KWXQ38,LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes),44.6026,5.0,0,0.3615884115884115,1
B00ACIGNMY,"Hanes Men's Tagless Briefs, Soft Moisture Wicking Underwear, Tagless, 7-pack",24.0043,4.7,12,0.22497690274008955,1
B00B6EDB64,Dickies Men's Heavyweight Crew Neck Short Sleeve Tee,16.99,4.666666666666667,298,0.17185867626982707,1
B00BBW2XZG,Dockers Men's Perfect Classic Fit Shorts (Regular and Big & Tall),23.641599999999997,4.818181818181818,47,0.41143579904943534,1
B00CAXQYMS,"Hanes Men's Underwear Boxer Briefs Pack, Cotton ComfortSoft Boxer Brief for Men, Moisture-Wicking Breathable, Multipack",18.0,4.9,6,0.34651839826839825,1
B00CAXS2Q4,"Hanes Men's Boxers, Cotton Knit Comfortable Boxer Underwear, Moisture-wicking Cotton Boxers, 5-pack",20.0,4.9,14,0.4236825396825397,1
B00D881IBG,Skechers Men's Afterburn Memory Fit Lace-up Sneaker,60.8424,4.7,216,0.28338833669666996,1
B00EUHD56A,Legendary Whitetails Journeyman Shirt Jacket Flannel Lined Shacket for Men Water-Resistant Coat Rugged Fall Clothing,86.46,4.6,854,0.23440803823942957,1
B00G99WZJU,"Hanes Men's Tagless Boxer Underwear, Exposed Waistband, Multi-packs Available",22.99,4.9,2,0.35516296296296296,1
B00GZIT5A2,U.S. Polo Assn. Men's Crew Neck Pocket T-Shirt (Color Group 2 of 2),12.0054,5.0,0,0.8,1
B00H383N8I,"Jerzees Men's Dri-Power Cotton Blend Long Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-3x",10.74,4.5,41,0.21583944135574568,1
B00IO9H6QU,Hanes Men's Double Tough Ankle Socks,11.8321,4.7,3,0.26750220456825397,1
B00IO9JCY4,Hanes Men's FreshIQ Over The Calf Tube Socks (Pack of 12),14.98,4.8,2,0.44707070707070706,1
B00JUM2V8I,Hanes Men's EcoSmart Fleece Hoodie Sweatshirt,12.4643,5.0,0,0.22117870225013078,1
B00JUM4CT4,Hanes Men's EcoSmart Fleece Full-Zip Hoodie Sweatshirt,13.354400000000002,2.9,105,0.1261773504273504,1
B00MGBBMTY,Levi's Men's 541 Athletic Fit Jeans (Also Available in Big & Tall),43.2638,4.9,77,0.25610159240331065,1
B00MU2OR3W,Skechers Men's Expected Avillo Relaxed-Fit Slip-On Loafer,42.1435,4.8,43,0.28856861854250243,1
B00NOY3JKW,"Hanes Men's Beefy-T T-Shirt, Heavyweight Cotton Tee, 1 Or 2 Pack, Big & Tall",8.1932,4.5,80,0.22093000497616413,1
B00PUAO7MM,"U.S. Polo Assn. Men's Solid Short Sleeve Interlock Polo Shirt, Golf Shirts for Men, Business Casual Polos",17.5,4.6,0,0.4681666666666667,1
B00PWP0JFO,"Hanes Men's Boxer Briefs, Soft and Breathable Cotton Underwear with ComfortFlex Waistband, Multipack",17.5,4.7,19,0.3703452881152461,1
B00QNAL9U6,Lee Men's Extreme Motion Flat Front Regular Straight Pant,36.9012,4.454545454545454,17,0.24788563055505672,1
B00SMJOETO,Clarks Men's Tilden Cap Oxford,58.2035,4.6,48,0.3058776436063936,1
B00UV3TGUG,Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall),46.9932,2.9,70,0.1841249950446379,1
B00VTV5XU6,"Fruit of the Loom Men's Cotton Briefs, Tag Free & Moisture Wicking, Assorted Color Multipacks",11.2036,4.8,6,0.35639893836322406,1
B00XKYM2AE,Wrangler Authentics Men's Premium Twill Cargo Short,27.87,4.7272727272727275,44,0.2980675672039945,1
B00XPFFXKO,Hanes Boys' Eco Smart Pullover Hoodie,14.003,4.6,10,0.3212534972322262,1
B00XPFM1RC,"Hanes Boys EcoSmart Fleece Sweatpants, Midweight Cotton/Poly Fleece Pants for Boys, Cuffed Sweats",12.0025,4.6,21,0.38267619044285717,1
B00YKRP324,Dockers Men's Relaxed Fit Comfort Khaki Pants - Pleated,49.99,4.5,0,0.30045238095238097,1
B010C7M9Z4,"Hanes Men's Cool Dri Polo Shirt, Quick-Drying Performance Polo For Men, 40+ Upf Protection",16.4625,4.7,76,0.29966153256321104,1
B0132MFEA8,Hanes Men's Short Sleeve X-Temp Performance Polo,12.5434,4.7,18,0.3238436948853615,1
B0151E6WTW,"Hanes Men's Athletic Shorts, Favorite Cotton Jersey Shorts, Pull-On Knit Shorts with Pockets, Knit Gym Shorts, 7.5"" Inseam",9.9038,4.454545454545454,2,0.30258979908979905,1
B016Y8268U,Lee Men's Extreme Motion Flat Front Short,34.99,4.75,14,0.24725041492898633,1
B01AK7Z1ZG,"Champion Men's Sport Shorts, Moisture Wicking, Athletic Shorts, Gym Shorts (Reg. Or Big & Tall)",18.7425,4.7,32,0.28952789007682905,1
B01AZ4DAJ8,U.S. Polo Assn. Men’s Undershirt – 4 Pack Crew Neck Short Sleeve T-Shirt,26.951,3.9,2,0.21291666669999998,1
B01AZ4DAKM,U.S. Polo Assn. Men's Undershirts - 4 Pack V Neck Undershirts for Men (S-XL),29.95,4.3,8,0.35953174603174604,1
B01BDZMIK0,Polo Ralph Lauren Men's Classic Fit Jersey Short Sleeve Tee,55.0,5.0,0,0.5,1
B01BDZMRR4,Polo Ralph Lauren Men's Jersey Short Sleeve Tee,42.0,3.8,3,0.26271428574285716,1
B01BFJM9BW,French Toast Boys' Short Sleeve Crewneck Tee,7.506,4.8,5,0.4463690476190476,1
B01BUGS7DO,Carhartt Men's Rain Defender Relaxed Fit Heavyweight Softshell Jacket,119.98999999999998,4.9,2,0.3326577380952381,1
B01C7KBKJU,Men's Cotton Welcro Pocket Dhoti 32 White,0.0,3.8,2,0.42667361111111113,1
B01DOLE1QA,"Hanes Essentials Sweatpants, Men’s Cotton Jersey Pants with Pockets, 33”",11.3343,4.5,42,0.21624358044733044,1
B01DTY5PGW,Lee Women's Plus Size Relaxed Fit Straight Leg Jean,28.003499999999995,4.5,22,0.30653220826792255,1
B01EMMB4LK,The Children's Place Boys' Uniform Short Sleeve Pique Polo,6.9946,4.9,20,0.35920668088525226,1
B01EX7UGI6,Exotic India Afterglow Dhoti and Angavastram Set from Kashi with Wov - Off-White,0.0,5.0,0,0.55,1
B01FKZRV4M,The Children's Place Boys' Bottoms Cargo Shorts,11.9729,4.8,3,0.348041255041255,1
B01G3LZ0IG,PUMA Mens Tazon 6 Cross Trainer,35.005,4.7,4,0.44278968253968254,1
B01GH5JOJY,Under Armour Men's Tech Golf Polo,23.6941,4.9,25,0.3525718937758254,1
B01GQBWBYO,Wrangler Men's Retro Slim Fit Straight Leg Jeans,39.0043,5.0,0,0.16716666666666666,1
B01H7ENCLA,Levi Strauss Signature Gold Men's Carpenter Jeans,23.9814,4.6,0,0.3960416666666666,1
B01H7HOS6U,"Champion Men's Joggers, Powerblend, Fleece Joggers, Comfortable Sweatpants for Men (Reg. or Big & Tall)",29.953300000000002,4.9,18,0.2746377465460798,1
B01IA6CJ36,Skechers Men's Cankton Steel Toe Construction Shoe,69.9918,4.6,108,0.2178693327296856,1
B01IR7TZWG,Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall),47.1732,4.9,40,0.33668697227302447,1
B01ISMKS7G,Levi's Men's 569 Loose Straight Fit Jeans,59.9914,4.9,13,0.3524640689997833,1
B01JQTOOMA,Amazon Essentials Men's Classic-Fit Wrinkle-Resistant Flat-Front Chino Pant (Available in Big & Tall),29.5,4.4,44,0.20329091158704257,1
B01JQTRMEC,Amazon Essentials Men's Classic-Fit Cargo Short (Available in Big & Tall),13.2517,4.6,42,0.28478783538398916,1
B01JZ0XPDE,Hoerev Men Casual Beach Trousers Linen Summer Pants,28.99,4.3,41,0.16778873106030842,1
B01L0B0B24,Tommy Hilfiger Men's Down Alternative Hooded Puffer Jacket (Standard and Big & Tall),84.0,4.75,4,0.32874579124579123,1
B01L8JJ5KC,"Hanes Men's EcoSmart Fleece, Pullover Crewneck Sweatshirt, 1 or 2 Pack",11.9933,4.5,35,0.15344126937876937,1
B01L9H7IS4,"Hanes Sport Xtemp Workout Pockets, Men's Training Pants",15.904500000000002,4.3,77,0.22910487772608984,1
B01LXS51OS,LONDON FOG Men's Wool Blend Car Coat with Bib,119.97,4.7,0,0.42690901360544214,1
B01M0DR0HO,"Gildan Adult Fleece Open Bottom Sweatpants with Pockets, Style G18300",10.9915,4.5,21,0.2317310555801268,1
B01M2CO9DQ,"Simple Joys by Carter's Baby Girls' Long-Sleeve Bodysuit, Pack of 5",15.2215,4.9,3,0.4065000000222222,1
B01M2ZRGN4,Under Armour Men's Sportstyle Tricot Joggers,52.741200000000006,4.9,32,0.36716409747659745,1
B01M3U4MS1,YuanLu Boys Suit for Kids Tuxedo Wedding Ring Bearer Outfit Boy Formal Suits 5 Piece Slim Fit Dresswear Suit Set,47.99,5.0,0,0.67,1
